Morph,subphylum,class,order,superfamily,family,tribe,genus,subgenus,specificEpithet,Scientific Name,Notes
SBBG-SR_000477,Hexapoda,Entognatha,Entomobryomorpha,Isotomoidea,Isotomidae,,,,,,
SBBG-SR_000277,Hexapoda,Entognatha,Entomobryomorpha,,Tomoceridae,,,,,,
SBBG-SR_000278,Hexapoda,Entognatha,Entomobryomorpha,,,,,,,,
SBBG-SR_000112,Hexapoda,Entognatha,Poduromorpha,,Hypogastruridae,,Xenylla,,,,
SBBG-SR_000032,Hexapoda,Entognatha,Poduromorpha,,Hypogastruridae,,,,,,
SBBG-SR_000076,Hexapoda,Entognatha,Poduromorpha,,Hypogastruridae,,,,,,
SBBG-SR_000127,Hexapoda,Entognatha,Poduromorpha,Neanuroidea,Neanuridae,,Pseudachorutes,,,,
SBBG-SR_000075,Hexapoda,Entognatha,Poduromorpha,Neanuroidea,Neanuridae,,,,,,
SBBG-SR_000117,Hexapoda,Entognatha,Poduromorpha,Onychiuroidea,Onychiuridae,,Protaphorura,,,,
SBBG-SR_000357,Hexapoda,Entognatha,Poduromorpha,,,,,,,,
SBBG-SR_000026,Hexapoda,Entognatha,Symphypleona,Sminthuroidea,Bourletiellidae,,Bourletiella,,gibbonsi,Bourletiella gibbonsi,
SBBG-SR_000129,Hexapoda,Entognatha,Symphypleona,Sminthuroidea,Bourletiellidae,,Bourletiella,,hortensis,Bourletiella hortensis,
SBBG-SR_000013,Hexapoda,Entognatha,Symphypleona,Sminthuroidea,Bourletiellidae,,,,,,
SBBG-SR_000128,Hexapoda,Entognatha,Symphypleona,Dicyrtomoidea,Dicyrtomidae,,,,,,
SBBG-SR_000130,Hexapoda,Entognatha,Symphypleona,Sminthuroidea,Sminthuridae,,Sminthurus,,,,
SBBG-SR_000650,Hexapoda,Entognatha,,,,,,,,,
SBBG-SR_000651,Hexapoda,Entognatha,,,,,,,,,
SBBG-SR_000427,Hexapoda,Insecta,Archaeognatha,,Machilidae,,,,,,I don't think Archaeognatha was recorded in Gap Analysis
SBBG-SR_000010,Hexapoda,Insecta,Coleoptera,Caraboidea,Carabidae,Zabrini,Amara,,,,
SBBG-SR_000011,Hexapoda,Insecta,Coleoptera,Caraboidea,Carabidae,Zabrini,Amara,,,,
SBBG-SR_000156,Hexapoda,Insecta,Coleoptera,Caraboidea,Carabidae,Lebiini,Axinopalpus,,,,
SBBG-SR_000105,Hexapoda,Insecta,Coleoptera,Caraboidea,Carabidae,Anisodactylini,Dicheirus,,piceus,Dicheirus piceus,
SBBG-SR_000158,Hexapoda,Insecta,Coleoptera,Caraboidea,Carabidae,Pterostichini,Pterostichus,Hypherpes,,,
SBBG-SR_000349,Hexapoda,Insecta,Coleoptera,Caraboidea,Carabidae,Platynini,Tanystoma,,maculicolle,Tanystoma maculicolle,
SBBG-SR_000115,Hexapoda,Insecta,Coleoptera,Caraboidea,Carabidae,,,,,,
SBBG-SR_000042,Hexapoda,Insecta,Coleoptera,Chrysomeloidea,Chrysomelidae,Cryptocephalini,Pachybrachis,,,,new genus
SBBG-SR_000055,Hexapoda,Insecta,Coleoptera,Chrysomeloidea,Chrysomelidae,,,,,,
SBBG-SR_000147,Hexapoda,Insecta,Coleoptera,Chrysomeloidea,Chrysomelidae,,,,,,
SBBG-SR_000133,Hexapoda,Insecta,Coleoptera,Curculionoidea,Curculionidae,Peritelini,Nemocestes,,horni,Nemocestes horni,new genus and sp
SBBG-SR_000044,Hexapoda,Insecta,Coleoptera,Curculionoidea,Curculionidae,Tychiini,Tychius,,lineellus,Tychius lineellus,
SBBG-SR_000144,Hexapoda,Insecta,Coleoptera,Curculionoidea,Curculionidae,Ceutorhynchini,,,,,
SBBG-SR_000159,Hexapoda,Insecta,Coleoptera,Curculionoidea,Curculionidae,,,,,,
SBBG-SR_000108,Hexapoda,Insecta,Coleoptera,Bostrichoidea,Dermestidae,Dermestini,Dermestes,,,,new genus
SBBG-SR_000045,Hexapoda,Insecta,Coleoptera,Elateroidea,Elateridae,Cardiophorini,Cardiophorus,,,,
SBBG-SR_000395,Hexapoda,Insecta,Coleoptera,Elateroidea,Elateridae,Cardiophorini,Cardiophorus,,,,
SBBG-SR_000611,Hexapoda,Insecta,Coleoptera,Elateroidea,Elateridae,,Cardiophorus,,,,
SBBG-SR_000641,Hexapoda,Insecta,Coleoptera,Coccinelloidea,Latridiidae,,Metophthalmus,,,,new genus
SBBG-SR_000040,Hexapoda,Insecta,Coleoptera,Coccinelloidea,Latridiidae,,,,,,
SBBG-SR_000109,Hexapoda,Insecta,Coleoptera,Staphylinoidea,Leiodidae,Agathidiini,,,,,
SBBG-SR_000086,Hexapoda,Insecta,Coleoptera,Cleroidea,Melyridae,Listrini,Trichochrous,,calcaratus,Trichochrous calcaratus,
SBBG-SR_000007,Hexapoda,Insecta,Coleoptera,Bostrichoidea,Ptinidae,,Ozognathus,,cornutus,Ozognathus cornutus,new genus and sp
SBBG-SR_000132,Hexapoda,Insecta,Coleoptera,Scarabaeoidea,Scarabaeidae,Dichelonychini,Dichelonyx,,,,new genus  
SBBG-SR_000050,Hexapoda,Insecta,Coleoptera,Staphylinoidea,Staphylinidae,Mycetoporini,,,,,
SBBG-SR_000097,Hexapoda,Insecta,Coleoptera,Staphylinoidea,Staphylinidae,,,,,,
SBBG-SR_000106,Hexapoda,Insecta,Coleoptera,Staphylinoidea,Staphylinidae,,,,,,
SBBG-SR_000107,Hexapoda,Insecta,Coleoptera,Staphylinoidea,Staphylinidae,,,,,,
SBBG-SR_000116,Hexapoda,Insecta,Coleoptera,Staphylinoidea,Staphylinidae,,,,,,
SBBG-SR_000292,Hexapoda,Insecta,Coleoptera,Staphylinoidea,Staphylinidae,Mycetoporini,,,,,
SBBG-SR_000347,Hexapoda,Insecta,Coleoptera,Tenebrionoidea,Tenebrionidae,Eulabini,Apsena,,rufipes,Apsena rufipes,new genus and sp
SBBG-SR_000046,Hexapoda,Insecta,Coleoptera,Tenebrionoidea,Tenebrionidae,,,,,,
SBBG-SR_000289,Hexapoda,Insecta,Coleoptera,Tenebrionoidea,Tenebrionidae,,,,,,
SBBG-SR_000241,Hexapoda,Insecta,Coleoptera,Cucujoidea,Erotylidae,Dacnini,Dacne,,californica,Dacne californica,"new family, genus, sp"
SBBG-SR_000098,Hexapoda,Insecta,Coleoptera,,,,,,,,
SBBG-SR_000447,Hexapoda,Insecta,Coleoptera,,,,,,,,
SBBG-SR_000008,Hexapoda,Insecta,Dermaptera,Forficuloidea,Forficulidae,,Forficula,,auricularia,Forficula auricularia,
SBBG-SR_000255,Hexapoda,Insecta,Dermaptera,,,,,,,,
SBBG-SR_000111,Hexapoda,Insecta,Diptera,Asiloidea,Bombyliidae,,,,,,
SBBG-SR_000094,Hexapoda,Insecta,Diptera,Sciaroidea,Cecidomyiidae,,,,,,
SBBG-SR_000095,Hexapoda,Insecta,Diptera,Sciaroidea,Cecidomyiidae,,,,,,
SBBG-SR_000096,Hexapoda,Insecta,Diptera,Sciaroidea,Cecidomyiidae,,,,,,
SBBG-SR_000134,Hexapoda,Insecta,Diptera,Sciaroidea,Cecidomyiidae,,,,,,
SBBG-SR_000151,Hexapoda,Insecta,Diptera,Sciaroidea,Cecidomyiidae,,,,,,
SBBG-SR_000286,Hexapoda,Insecta,Diptera,Sciaroidea,Cecidomyiidae,,,,,,
SBBG-SR_000287,Hexapoda,Insecta,Diptera,Sciaroidea,Cecidomyiidae,,,,,,
SBBG-SR_000529,Hexapoda,Insecta,Diptera,Sciaroidea,Cecidomyiidae,,,,,,
SBBG-SR_000017,Hexapoda,Insecta,Diptera,Chironomoidea,Chironomidae,,,,,,
SBBG-SR_000018,Hexapoda,Insecta,Diptera,Chironomoidea,Chironomidae,,,,,,
SBBG-SR_000054,Hexapoda,Insecta,Diptera,Chironomoidea,Chironomidae,,,,,,
SBBG-SR_000149,Hexapoda,Insecta,Diptera,Chironomoidea,Chironomidae,,,,,,
SBBG-SR_000114,Hexapoda,Insecta,Diptera,Empidoidea,Dolichopodidae,,Medetera,,,,
SBBG-SR_000335,Hexapoda,Insecta,Diptera,Empidoidea,Dolichopodidae,Medeterini,Medetera,,,,
SBBG-SR_000019,Hexapoda,Insecta,Diptera,Ephydroidea,Ephydridae,,,,,,
SBBG-SR_000015,Hexapoda,Insecta,Diptera,,Phoridae,,,,,,
SBBG-SR_000240,Hexapoda,Insecta,Diptera,,Phoridae,,,,,,
SBBG-SR_000016,Hexapoda,Insecta,Diptera,Sciaroidea,Sciaridae,,,,,,
SBBG-SR_000068,Hexapoda,Insecta,Diptera,Sciaroidea,Sciaridae,,,,,,
SBBG-SR_000077,Hexapoda,Insecta,Diptera,Sciaroidea,Sciaridae,,,,,,
SBBG-SR_000089,Hexapoda,Insecta,Diptera,Sciaroidea,Sciaridae,,,,,,
SBBG-SR_000090,Hexapoda,Insecta,Diptera,Sciaroidea,Sciaridae,,,,,,
SBBG-SR_000091,Hexapoda,Insecta,Diptera,Sciaroidea,Sciaridae,,,,,,
SBBG-SR_000092,Hexapoda,Insecta,Diptera,Sciaroidea,Sciaridae,,,,,,
SBBG-SR_000120,Hexapoda,Insecta,Diptera,Sciaroidea,Sciaridae,,,,,,
SBBG-SR_000093,Hexapoda,Insecta,Diptera,Sciaroidea,Sciaridae,,,,,,
SBBG-SR_000269,Hexapoda,Insecta,Diptera,Sciaroidea,Sciaridae,,,,,,
SBBG-SR_000071,Hexapoda,Insecta,Diptera,Sphaeroceroidea,Sphaeroceridae,,,,,,
SBBG-SR_000512,Hexapoda,Insecta,Diptera,Asiloidea,Therevidae,,,,,,
SBBG-SR_000006,Hexapoda,Insecta,Diptera,Tipuloidea,Tipulidae,,Tipula,,,,
SBBG-SR_000069,Hexapoda,Insecta,Diptera,Tipuloidea,Tipulidae,,,,,,
SBBG-SR_000155,Hexapoda,Insecta,Diptera,Tipuloidea,Tipulidae,,,,,,
SBBG-SR_000135,Hexapoda,Insecta,Diptera,Sciaroidea,,,,,,,
SBBG-SR_000239,Hexapoda,Insecta,Diptera,,,,,,,,
SBBG-SR_000263,Hexapoda,Insecta,Diptera,Oestroidea,,,,,,,
SBBG-SR_000270,Hexapoda,Insecta,Diptera,,,,,,,,
SBBG-SR_000288,Hexapoda,Insecta,Diptera,Sciaroidea,,,,,,,
SBBG-SR_000372,Hexapoda,Insecta,Diptera,,,,,,,,
SBBG-SR_000412,Hexapoda,Insecta,Diptera,,,,,,,,
SBBG-SR_000440,Hexapoda,Insecta,Diptera,Sciaroidea,,,,,,,
SBBG-SR_000494,Hexapoda,Insecta,Diptera,,,,,,,,
SBBG-SR_000550,Hexapoda,Insecta,Diptera,Sphaeroceroidea,,,,,,,
SBBG-SR_000083,Hexapoda,Insecta,Hemiptera,Aphidoidea,Aphididae,Macrosiphini,Acyrthosiphon,,pisum,Acyrthosiphon pisum,
SBBG-SR_000125,Hexapoda,Insecta,Hemiptera,Aphidoidea,Aphididae,Aphidini,Aphis,,craccivora,Aphis cf. craccivora,
